game_id,game_date,season,home_team_id,away_team_id,y_margin,home_win_pct_to_date,away_win_pct_to_date,win_pct_diff,home_avg_margin_to_date,away_avg_margin_to_date,home_last10_margin,away_last10_margin,last10_margin_diff,home_home_margin_to_date,away_away_margin_to_date,home_rest_days,away_rest_days,rest_diff,home_b2b,away_b2b,home_games_to_date,away_games_to_date
22400112,2024-10-28,2024-25,1610612758,1610612757,13,0.0,0.3333333333333333,-0.3333333333333333,-3.0,-5.333333333333333,-3.0,-5.333333333333333,2.333333333333333,-2.0,0.0,1,0,1,0,1,2,3
22400113,2024-10-29,2024-25,1610612751,1610612743,-5,0.3333333333333333,0.3333333333333333,0.0,-2.0,-6.0,-2.0,-6.0,4.0,13.0,2.0,1,0,1,0,1,3,3
22400114,2024-10-29,2024-25,1610612750,1610612742,-6,0.6666666666666666,0.6666666666666666,0.0,2.0,2.3333333333333335,2.0,2.3333333333333335,-0.3333333333333335,11.0,-12.0,2,0,2,0,1,3,3
22400115,2024-10-29,2024-25,1610612762,1610612758,-17,0.0,0.3333333333333333,-0.3333333333333333,-17.0,2.3333333333333335,-17.0,2.3333333333333335,-19.333333333333332,-21.5,-4.0,0,0,0,1,1,3,3
22400116,2024-10-29,2024-25,1610612744,1610612740,18,0.6666666666666666,0.6666666666666666,0.0,23.0,-2.6666666666666665,23.0,-2.6666666666666665,25.666666666666668,-8.0,-10.0,1,1,0,0,0,3,3
22400117,2024-10-30,2024-25,1610612766,1610612761,5,0.3333333333333333,0.25,0.08333333333333331,-2.6666666666666665,-8.75,-2.6666666666666665,-8.75,6.083333333333334,-8.0,-11.0,3,1,2,0,0,3,4
22400118,2024-10-30,2024-25,1610612739,1610612747,24,1.0,0.75,0.25,16.75,3.5,16.75,3.5,13.25,12.0,-4.0,1,1,0,0,0,4,4
22400119,2024-10-30,2024-25,1610612754,1610612738,3,0.25,1.0,-0.75,-6.75,15.0,-6.75,15.0,-21.75,-4.0,13.0,1,1,0,0,0,4,4
22400120,2024-10-30,2024-25,1610612755,1610612765,-10,0.3333333333333333,0.0,0.3333333333333333,-6.333333333333333,-8.0,-6.333333333333333,-8.0,1.666666666666667,-15.0,-10.0,2,1,1,0,0,3,4
22400121,2024-10-30,2024-25,1610612764,1610612737,13,0.3333333333333333,0.5,-0.16666666666666669,-12.333333333333334,-4.25,-12.333333333333334,-4.25,-8.083333333333334,-19.5,-24.0,1,1,0,0,0,3,4
22400122,2024-10-30,2024-25,1610612748,1610612752,-9,0.6666666666666666,0.3333333333333333,0.3333333333333333,-1.0,-1.3333333333333333,-1.0,-1.3333333333333333,0.33333333333333326,-5.5,-23.0,1,1,0,0,0,3,3
